0,0,201,#FFFFFF,#333333
1,0,205,#FFFFFF,#333333
2,0,205,#FFFFFF,#333333
3,0,205,#FFFFFF,#333333
4,0,205,#FFFFFF,#333333
5,0,205,#FFFFFF,#333333
6,0,205,#FFFFFF,#333333
7,0,205,#FFFFFF,#333333
8,0,205,#FFFFFF,#333333
9,0,205,#FFFFFF,#333333
10,0,203,#FFFFFF,#333333
11,0,205,#FFFFFF,#333333
12,0,205,#FFFFFF,#333333
13,0,205,#FFFFFF,#333333
14,0,205,#FFFFFF,#333333
15,0,205,#FFFFFF,#333333
16,0,205,#FFFFFF,#333333
17,0,205,#FFFFFF,#333333
18,0,205,#FFFFFF,#333333
19,0,205,#FFFFFF,#333333
20,0,187,#FFFFFF,#333333
0,1,186,#FFFFFF,#333333
1,1,32,#000000,#000000
2,1,32,#000000,#000000
3,1,32,#000000,#000000
4,1,32,#000000,#000000
5,1,32,#000000,#000000
6,1,32,#000000,#000000
7,1,32,#000000,#000000
8,1,32,#000000,#000000
9,1,32,#000000,#000000
10,1,186,#FFFFFF,#333333
11,1,32,#000000,#000000
12,1,32,#000000,#000000
13,1,32,#000000,#000000
14,1,32,#000000,#000000
15,1,32,#000000,#000000
16,1,32,#000000,#000000
17,1,32,#000000,#000000
18,1,32,#000000,#000000
19,1,32,#000000,#000000
20,1,186,#FFFFFF,#333333
0,2,186,#FFFFFF,#333333
1,2,32,#000000,#000000
2,2,32,#000000,#000000
3,2,32,#000000,#000000
4,2,32,#000000,#000000
5,2,32,#000000,#000000
6,2,32,#000000,#000000
7,2,32,#000000,#000000
8,2,32,#000000,#000000
9,2,32,#000000,#000000
10,2,43,#FFFFFF,#333333
11,2,32,#000000,#000000
12,2,32,#000000,#000000
13,2,32,#000000,#000000
14,2,32,#000000,#000000
15,2,32,#000000,#000000
16,2,32,#000000,#000000
17,2,32,#000000,#000000
18,2,32,#000000,#000000
19,2,32,#000000,#000000
20,2,186,#FFFFFF,#333333
0,3,186,#FFFFFF,#333333
1,3,32,#000000,#000000
2,3,32,#000000,#000000
3,3,32,#000000,#000000
4,3,32,#000000,#000000
5,3,32,#000000,#000000
6,3,32,#000000,#000000
7,3,32,#000000,#000000
8,3,32,#000000,#000000
9,3,32,#000000,#000000
10,3,186,#FFFFFF,#333333
11,3,32,#000000,#000000
12,3,32,#000000,#000000
13,3,32,#000000,#000000
14,3,32,#000000,#000000
15,3,32,#000000,#000000
16,3,32,#000000,#000000
17,3,32,#000000,#000000
18,3,32,#000000,#000000
19,3,32,#000000,#000000
20,3,186,#FFFFFF,#333333
0,4,186,#FFFFFF,#333333
1,4,32,#000000,#000000
2,4,32,#000000,#000000
3,4,32,#000000,#000000
4,4,32,#000000,#000000
5,4,32,#000000,#000000
6,4,32,#000000,#000000
